"1011852,Maykop,""Maykop,Adygea,Russia"",21250,RU,City,Active"
"1011853,Barnaul,""Barnaul,Altai Krai,Russia"",21385,RU,City,Active"
"1011854,Biysk,""Biysk,Altai Krai,Russia"",21385,RU,City,Active"
"1011855,Rubtsovsk,""Rubtsovsk,Altai Krai,Russia"",21385,RU,City,Active"
"1011856,Slavgorod,""Slavgorod,Altai Krai,Russia"",21385,RU,City,Active"
"1011858,Blagoveshchensk,""Blagoveshchensk,Amur Oblast,Russia"",20915,RU,City,Active"
"1011859,Arkhangelsk,""Arkhangelsk,Arkhangelsk Oblast,Russia"",20916,RU,City,Active"
"1011860,Kotlas,""Kotlas,Arkhangelsk Oblast,Russia"",20916,RU,City,Active"
"1011861,Severodvinsk,""Severodvinsk,Arkhangelsk Oblast,Russia"",20916,RU,City,Active"
"1011862,Astrakhan,""Astrakhan,Astrakhan Oblast,Russia"",20917,RU,City,Active"
"1011863,Neftekamsk,""Neftekamsk,Republic of Bashkortostan,Russia"",20918,RU,City,Active"
"1011864,Oktyabrsky,""Oktyabrsky,Republic of Bashkortostan,Russia"",20918,RU,City,Active"
"1011865,Salavat,""Salavat,Republic of Bashkortostan,Russia"",20918,RU,City,Active"
"1011866,Sterlitamak,""Sterlitamak,Republic of Bashkortostan,Russia"",20918,RU,City,Active"
"1011867,Ufa,""Ufa,Republic of Bashkortostan,Russia"",20918,RU,City,Active"
"1011868,Belgorod,""Belgorod,Belgorod Oblast,Russia"",20919,RU,City,Active"
"1011869,Bryansk,""Bryansk,Bryansk Oblast,Russia"",20920,RU,City,Active"
"1011870,Ulan-Ude,""Ulan-Ude,Buryatia,Russia"",20921,RU,City,Active"
"1011871,Argayash,""Argayash,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011872,Asha,""Asha,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011873,Chebarkul,""Chebarkul,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011874,Chelyabinsk,""Chelyabinsk,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011875,Karabash,""Karabash,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011876,Kartaly,""Kartaly,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011877,Katav-Ivanovsk,""Katav-Ivanovsk,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011878,Kopeysk,""Kopeysk,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011879,Korkino,""Korkino,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011880,Kyshtym,""Kyshtym,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011881,Magnitogorsk,""Magnitogorsk,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011882,Miass,""Miass,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
"1011883,Plast,""Plast,Chelyabinsk Oblast,Russia"",20922,RU,City,Active"
