id;name
225;Россия
3;Центр
1;Москва и область
213;Москва
216;Зеленоград
20674;Троицк
21624;Щербинка
10716;Балашиха
10717;Бронницы
98580;Волоколамский район
10721;Волоколамск
98581;Воскресенский район
10722;Воскресенск
21735;Дзержинский
98582;Дмитровский район
10723;Дмитров
214;Долгопрудный
10725;Домодедово
215;Дубна
98584;Егорьевск городской округ
10727;Егорьевск
20571;Жуковский
98585;Зарайск городской округ
10728;Зарайск
10729;Звенигород
21623;Ивантеевка
98586;Истра городской округ
21627;Дедовск
10731;Истра
98587;Кашира городской округ
10732;Кашира
98588;Клин городской округ
10733;Клин
10734;Коломна
20728;Королёв
100471;Красноармейск
98590;Красногорск городской округ
10735;Красногорск
21745;Нахабино
21647;Краснознаменск
98591;Ленинский район
10719;Видное
21641;Лобня
21635;Лосино-Петровский
98593;Луховицы городской округ
10737;Луховицы
21630;Лыткарино
98594;Люберцы городской округ
10738;Люберцы
98595;Можайский район
10739;Можайск
98596;Мытищи городской округ
10740;Мытищи
98597;Наро-Фоминский городской округ
10715;Апрелевка
10741;Наро-Фоминск
98598;Ногинский район
10742;Ногинск
21656;Старая Купавна
21642;Электроугли
98599;Одинцовский район
21646;Голицыно
21625;Кубинка
10743;Одинцово
10745;Орехово-Зуево
98602;Павловский Посад городской округ
10746;Павловский Посад
10747;Подольск
20576;Протвино
98604;Пушкинский район
10748;Пушкино
217;Пущино
98605;Раменский район
10750;Раменское
21621;Реутов
98606;Рузский городской округ
10751;Руза
98608;Сергиево-Посадский район
10752;Сергиев Посад
21645;Хотьково
10754;Серпухов
98611;Солнечногорский район
10755;Солнечногорск
98607;Ступино городской округ
10756;Ступино
21619;Фрязино
10758;Химки
219;Черноголовка
98614;Чехов городской округ
10761;Чехов
98615;Шатура городской округ
10762;Шатура
98617;Щёлковский район
10765;Щелково
20523;Электросталь
10645;Белгородская область
98697;Алексеевский район
20192;Алексеевка
4;Белгород
10646;Губкин
10649;Старый Оскол
98716;Шебекинский район
20196;Шебекино
98717;Яковлевский район
20587;Строитель
10650;Брянская область
191;Брянск
10653;Клинцы
10658;Владимирская область
98745;Александровский район
10656;Александров
192;Владимир
10661;Гусь-Хрустальный
98750;Киржачский район
10663;Киржач
10664;Ковров
10668;Муром
98755;Петушинский район
37129;Покров
10672;Воронежская область
193;Воронеж
98787;Россошанский район
10681;Россошь
10687;Ивановская область
5;Иваново
10689;Кинешма
10691;Шуя
10693;Калужская область
6;Калуга
98826;Малоярославецкий район
10697;Малоярославец
967;Обнинск
10699;Костромская область
7;Кострома
10705;Курская область
10710;Железногорск
8;Курск
20707;Курчатов
10712;Липецкая область
10713;Елец
9;Липецк
10772;Орловская область
10;Орёл
10776;Рязанская область
10773;Касимов
11;Рязань
10795;Смоленская область
98958;Вяземский район
10782;Вязьма
98959;Гагаринский район
10783;Гагарин
12;Смоленск
98981;Ярцевский район
10801;Ярцево
10802;Тамбовская область
10803;Мичуринск
13;Тамбов
10819;Тверская область
99008;Бологовский район
10805;Бологое
10807;Вышний Волочёк
10811;Кимры
99019;Конаковский район
10812;Конаково
10820;Ржев
14;Тверь
99039;Удомельский район
10824;Удомля
10832;Тульская область
99044;Богородицкий район
20667;Богородицк
10828;Ефремов
10830;Новомосковск
15;Тула
10841;Ярославская область
10837;Переславль-Залесский
10839;Рыбинск
99078;Тутаевский район
21154;Тутаев
99079;Угличский район
10840;Углич
16;Ярославль
17;Северо-Запад
10174;Санкт-Петербург и Ленинградская область
98620;Волховский район
10864;Волхов
98621;Всеволожский район
10865;Всеволожск
98622;Выборгский район
969;Выборг
98623;Гатчинский район
10867;Гатчина
98624;Кингисеппский район
10870;Кингисепп
98625;Киришский район
10871;Кириши
98626;Кировский район
10872;Кировск
98629;Лужский район
10876;Луга
98630;Подпорожский район
10881;Подпорожье
98631;Приозерский район
10883;Приозерск
2;Санкт-Петербург
20293;Колпинский район
26081;Колпино
20297;Пушкинский район
10884;Пушкин
98632;Сланцевский район
10888;Сланцы
10891;Сосновый Бор
98633;Тихвинский район
10892;Тихвин
98634;Тосненский район
10893;Тосно
10842;Архангельская область
20;Архангельск
10846;Котлас
10849;Северодвинск
10853;Вологодская область
21;Вологда
968;Череповец
10857;Калининградская область
22;Калининград
10860;Советск
10897;Мурманская область
10894;Апатиты
101749;Кандалакшский район
10895;Кандалакша
10896;Мончегорск
23;Мурманск
20155;Оленегорск
10176;Ненецкий автономный округ
10902;Нарьян-Мар
10904;Новгородская область
99146;Боровичский район
10906;Боровичи
24;Великий Новгород
99161;Старорусский район
10923;Старая Русса
10926;Псковская область
10928;Великие Луки
25;Псков
10933;Республика Карелия
99193;Кондопожский район
10934;Кондопога
10935;Костомукша
18;Петрозаводск
99203;Сегежский район
10936;Сегежа
110934;Сортавальский район
10937;Сортавала
10939;Республика Коми
10940;Воркута
10941;Инта
99210;Район Печора
10942;Печора
19;Сыктывкар
10944;Усинск
10945;Ухта
40;Поволжье
11070;Кировская область
20020;Вятские Поляны
46;Киров
11071;Кирово-Чепецк
11079;Нижегородская область
11080;Арзамас
20040;Выкса
972;Дзержинск
99555;Кстовский район
20044;Кстово
47;Нижний Новгород
99560;Павловский район
11082;Павлово
11083;Саров
11084;Оренбургская область
11086;Бузулук
11087;Гай
11090;Новотроицк
48;Оренбург
11091;Орск
11095;Пензенская область
11101;Кузнецк
49;Пенза
11108;Пермский край
20237;Березники
20244;Лысьва
50;Пермь
11110;Соликамск
110916;Чайковский район
20243;Чайковский
11111;Республика Башкортостан
99675;Белебеевский район
20714;Белебей
99677;Белорецкий район
20259;Белорецк
99694;Ишимбайский район
20718;Ишимбай
11113;Кумертау
99703;Мелеузовский район
20715;Мелеуз
11114;Нефтекамск
20235;Октябрьский
11115;Салават
20716;Сибай
11116;Стерлитамак
99712;Туймазинский район
20717;Туймазы
172;Уфа
99714;Учалинский район
20680;Учалы
11077;Республика Марий Эл
20721;Волжск
41;Йошкар-Ола
11117;Республика Мордовия
99737;Рузаевский район
20010;Рузаевка
42;Саранск
11119;Республика Татарстан
11121;Альметьевск
11122;Бугульма
43;Казань
236;Набережные Челны
11127;Нижнекамск
11131;Самарская область
11132;Жигулёвск
51;Самара
11139;Сызрань
240;Тольятти
11146;Саратовская область
99817;Балаковский район
11143;Балаково
99818;Балашовский район
11144;Балашов
194;Саратов
99850;Энгельсский район
11147;Энгельс
11148;Удмуртская Республика
11149;Воткинск
11150;Глазов
44;Ижевск
11152;Сарапул
11153;Ульяновская область
11155;Димитровград
195;Ульяновск
11156;Чувашская Республика
37133;Новочебоксарск
45;Чебоксары
20078;Шумерля
26;Юг
10946;Астраханская область
37;Астрахань
99221;Ахтубинский район
20167;Ахтубинск
10950;Волгоградская область
38;Волгоград
10951;Волжский
10959;Камышин
10965;Михайловка
10981;Урюпинск
10995;Краснодарский край
1107;Анапа
10987;Армавир
99269;Белореченский район
10988;Белореченск
10990;Геленджик
99274;Ейский район
10993;Ейск
99275;Кавказский район
10996;Кропоткин
35;Краснодар
99281;Крымский район
10997;Крымск
970;Новороссийск
99293;Славянский район
20704;Славянск-на-Кубани
239;Сочи
99297;Тимашевский район
21141;Тимашевск
99298;Тихорецкий район
11002;Тихорецк
99299;Туапсинский район
1058;Туапсе
11004;Республика Адыгея
1093;Майкоп
11015;Республика Калмыкия
1094;Элиста
11029;Ростовская область
11030;Азов
99411;Белокалитвинский район
11034;Белая Калитва
11036;Волгодонск
11043;Каменск-Шахтинский
238;Новочеркасск
39;Ростов-на-Дону
971;Таганрог
11053;Шахты
59;Сибирь
11235;Алтайский край
197;Барнаул
975;Бийск
11240;Заринск
11251;Рубцовск
11266;Иркутская область
11256;Ангарск
976;Братск
63;Иркутск
100109;Нижнеудинский район
11268;Нижнеудинск
100112;Тайшетский район
11270;Тайшет
11271;Тулун
11272;Усолье-Сибирское
11273;Усть-Илимск
100116;Усть-Кутский район
20097;Усть-Кут
11274;Черемхово
11282;Кемеровская область
11276;Анжеро-Судженск
11277;Белово
