"id","place","parent","country_code"
"225","Россия","0",""
"3","Центр","225",""
"1","Москва и область","3",""
"213","Москва","1",""
"216","Зеленоград","213",""
"20674","Троицк","213",""
"21624","Щербинка","213",""
"10716","Балашиха","1",""
"10717","Бронницы","1",""
"98580","Волоколамский район","1",""
"10721","Волоколамск","98580",""
"98581","Воскресенский район","1",""
"10722","Воскресенск","98581",""
"21735","Дзержинский","1",""
"98582","Дмитровский район","1",""
"10723","Дмитров","98582",""
"214","Долгопрудный","1",""
"10725","Домодедово","1",""
"215","Дубна","1",""
"98584","Егорьевск (городской округ)","1",""
"10727","Егорьевск","98584",""
"20571","Жуковский","1",""
"98585","Зарайск (городской округ)","1",""
"10728","Зарайск","98585",""
"10729","Звенигород","1",""
"21623","Ивантеевка","1",""
"98586","Истра (городской округ)","1",""
"21627","Дедовск","98586",""
"10731","Истра","98586",""
"98587","Кашира (городской округ)","1",""
"10732","Кашира","98587",""
"98588","Клин (городской округ)","1",""
"10733","Клин","98588",""
"10734","Коломна","1",""
"20728","Королёв","1",""
"100471","Красноармейск","1",""
"98590","Красногорск (городской округ)","1",""
"10735","Красногорск","98590",""
"21745","Нахабино","98590",""
"21647","Краснознаменск","1",""
"98591","Ленинский район","1",""
"10719","Видное","98591",""
"21641","Лобня","1",""
"21635","Лосино-Петровский","1",""
"98593","Луховицы (городской округ)","1",""
"10737","Луховицы","98593",""
"21630","Лыткарино","1",""
"98594","Люберцы (городской округ)","1",""
"10738","Люберцы","98594",""
"98595","Можайский район","1",""
"10739","Можайск","98595",""
"98596","Мытищи (городской округ)","1",""
"10740","Мытищи","98596",""
"98597","Наро-Фоминский городской округ","1",""
"10715","Апрелевка","98597",""
"10741","Наро-Фоминск","98597",""
"98598","Ногинский район","1",""
"10742","Ногинск","98598",""
"21656","Старая Купавна","98598",""
"21642","Электроугли","98598",""
"98599","Одинцовский район","1",""
"21646","Голицыно","98599",""
"21625","Кубинка","98599",""
"10743","Одинцово","98599",""
"10745","Орехово-Зуево","1",""
"98602","Павловский Посад (городской округ)","1",""
"10746","Павловский Посад","98602",""
"10747","Подольск","1",""
"20576","Протвино","1",""
"98604","Пушкинский район","1",""
"10748","Пушкино","98604",""
"217","Пущино","1",""
"98605","Раменский район","1",""
"10750","Раменское","98605",""
"21621","Реутов","1",""
"98606","Рузский городской округ","1",""
"10751","Руза","98606",""
"98608","Сергиево-Посадский район","1",""
"10752","Сергиев Посад","98608",""
"21645","Хотьково","98608",""
"10754","Серпухов","1",""
"98611","Солнечногорский район","1",""
"10755","Солнечногорск","98611",""
"98607","Ступино (городской округ)","1",""
"10756","Ступино","98607",""
"21619","Фрязино","1",""
"10758","Химки","1",""
"219","Черноголовка","1",""
"98614","Чехов (городской округ)","1",""
"10761","Чехов","98614",""
"98615","Шатура (городской округ)","1",""
"10762","Шатура","98615",""
"98617","Щёлковский район","1",""
"10765","Щелково","98617",""
"20523","Электросталь","1",""
"10645","Белгородская область","3",""
"98697","Алексеевский район","10645",""
"20192","Алексеевка","98697",""
"4","Белгород","10645",""
"10646","Губкин","10645",""
"10649","Старый Оскол","10645",""
"98716","Шебекинский район","10645",""
"20196","Шебекино","98716",""
"98717","Яковлевский район","10645",""
"20587","Строитель","98717",""
"10650","Брянская область","3",""
"191","Брянск","10650",""
"10653","Клинцы","10650",""
"10658","Владимирская область","3",""
"98745","Александровский район","10658",""
"10656","Александров","98745",""
"192","Владимир","10658",""
"10661","Гусь-Хрустальный","10658",""
"98750","Киржачский район","10658",""
"10663","Киржач","98750",""
"10664","Ковров","10658",""
"10668","Муром","10658",""
"98755","Петушинский район","10658",""
"37129","Покров","98755",""
"10672","Воронежская область","3",""
"193","Воронеж","10672",""
"98787","Россошанский район","10672",""
"10681","Россошь","98787",""
"10687","Ивановская область","3",""
"5","Иваново","10687",""
"10689","Кинешма","10687",""
"10691","Шуя","10687",""
"10693","Калужская область","3",""
"6","Калуга","10693",""
"98826","Малоярославецкий район","10693",""
"10697","Малоярославец","98826",""
"967","Обнинск","10693",""
"10699","Костромская область","3",""
"7","Кострома","10699",""
"10705","Курская область","3",""
"10710","Железногорск","10705",""
"8","Курск","10705",""
"20707","Курчатов","10705",""
"10712","Липецкая область","3",""
"10713","Елец","10712",""
"9","Липецк","10712",""
"10772","Орловская область","3",""
"10","Орёл","10772",""
"10776","Рязанская область","3",""
"10773","Касимов","10776",""
"11","Рязань","10776",""
"10795","Смоленская область","3",""
"98958","Вяземский район","10795",""
"10782","Вязьма","98958",""
"98959","Гагаринский район","10795",""
"10783","Гагарин","98959",""
"12","Смоленск","10795",""
"98981","Ярцевский район","10795",""
"10801","Ярцево","98981",""
"10802","Тамбовская область","3",""
"10803","Мичуринск","10802",""
"13","Тамбов","10802",""
"10819","Тверская область","3",""
"99008","Бологовский район","10819",""
"10805","Бологое","99008",""
"10807","Вышний Волочёк","10819",""
"10811","Кимры","10819",""
"99019","Конаковский район","10819",""
"10812","Конаково","99019",""
"10820","Ржев","10819",""
"14","Тверь","10819",""
"99039","Удомельский район","10819",""
"10824","Удомля","99039",""
"10832","Тульская область","3",""
"99044","Богородицкий район","10832",""
"20667","Богородицк","99044",""
"10828","Ефремов","10832",""
"10830","Новомосковск","10832",""
"15","Тула","10832",""
"10841","Ярославская область","3",""
"10837","Переславль-Залесский","10841",""
"10839","Рыбинск","10841",""
"99078","Тутаевский район","10841",""
"21154","Тутаев","99078",""
"99079","Угличский район","10841",""
"10840","Углич","99079",""
"16","Ярославль","10841",""
"17","Северо-Запад","225",""
"10174","Санкт-Петербург и Ленинградская область","17",""
"98620","Волховский район","10174",""
"10864","Волхов","98620",""
"98621","Всеволожский район","10174",""
"10865","Всеволожск","98621",""
"98622","Выборгский район","10174",""
"969","Выборг","98622",""
"98623","Гатчинский район","10174",""
"10867","Гатчина","98623",""
"98624","Кингисеппский район","10174",""
"10870","Кингисепп","98624",""
"98625","Киришский район","10174",""
"10871","Кириши","98625",""
"98626","Кировский район","10174",""
"10872","Кировск","98626",""
"98629","Лужский район","10174",""
"10876","Луга","98629",""
"98630","Подпорожский район","10174",""
"10881","Подпорожье","98630",""
"98631","Приозерский район","10174",""
"10883","Приозерск","98631",""
"2","Санкт-Петербург","10174",""
